timeindex,s_be,s_bb,w_be,w_bb,h_bb
2016-01-01 00:00:00,0,0,0.0397,0.0513,0.45
2016-01-01 01:00:00,0,0,0.0454,0.0507,0.45
2016-01-01 02:00:00,0,0,0.0367,0.0441,0.45
2016-01-01 03:00:00,0,0,0.0286,0.038,0.45
2016-01-01 04:00:00,0,0,0.0271,0.0349,0.45
2016-01-01 05:00:00,0,0,0.0264,0.0324,0.45
2016-01-01 06:00:00,0,0,0.0287,0.0306,0.45
2016-01-01 07:00:00,0.0001,0.0003,0.0387,0.0358,0.45
2016-01-01 08:00:00,0.0203,0.0191,0.0297,0.0294,0.45
2016-01-01 09:00:00,0.0501,0.0479,0.0217,0.0289,0.45
2016-01-01 10:00:00,0.0663,0.0712,0.019,0.0256,0.45
2016-01-01 11:00:00,0.0676,0.079,0.018,0.0208,0.45
2016-01-01 12:00:00,0.0521,0.0715,0.0141,0.0158,0.45
2016-01-01 13:00:00,0.0247,0.0446,0.0106,0.0129,0.45
2016-01-01 14:00:00,0.0031,0.008,0.0069,0.0134,0.45
2016-01-01 15:00:00,0,0,0.0019,0.01,0.45
2016-01-01 16:00:00,0,0,0,0.0047,0.45
2016-01-01 17:00:00,0,0,0,0.0014,0.45
2016-01-01 18:00:00,0,0,0,0.0002,0.45
2016-01-01 19:00:00,0,0,0,0.0012,0.45
2016-01-01 20:00:00,0,0,0,0.0051,0.45
2016-01-01 21:00:00,0,0,0.0003,0.0103,0.45
2016-01-01 22:00:00,0,0,0.0033,0.0168,0.45
2016-01-01 23:00:00,0,0,0.0097,0.0254,0.45
2016-01-02 00:00:00,0,0,0.0216,0.0378,0.45
2016-01-02 01:00:00,0,0,0.0417,0.057,0.45
2016-01-02 02:00:00,0,0,0.0707,0.0818,0.45
2016-01-02 03:00:00,0,0,0.0987,0.1061,0.45
2016-01-02 04:00:00,0,0,0.1274,0.1379,0.45
2016-01-02 05:00:00,0,0,0.1701,0.1837,0.45
2016-01-02 06:00:00,0,0,0.2466,0.2533,0.45
2016-01-02 07:00:00,0.0015,0.0023,0.3433,0.3331,0.45
2016-01-02 08:00:00,0.0308,0.0394,0.5107,0.4305,0.45
2016-01-02 09:00:00,0.0683,0.0868,0.6063,0.4894,0.45
2016-01-02 10:00:00,0.1076,0.1342,0.6317,0.5121,0.45
2016-01-02 11:00:00,0.1283,0.1554,0.6578,0.5277,0.45
2016-01-02 12:00:00,0.1024,0.1324,0.6868,0.5482,0.45
2016-01-02 13:00:00,0.0606,0.084,0.715,0.5698,0.45
2016-01-02 14:00:00,0.0128,0.0183,0.727,0.5728,0.45
2016-01-02 15:00:00,0,0,0.7758,0.6025,0.45
2016-01-02 16:00:00,0,0,0.8484,0.6389,0.45
2016-01-02 17:00:00,0,0,0.8357,0.6361,0.45
2016-01-02 18:00:00,0,0,0.8106,0.6151,0.45
2016-01-02 19:00:00,0,0,0.7818,0.5935,0.45
2016-01-02 20:00:00,0,0,0.7484,0.5723,0.45
2016-01-02 21:00:00,0,0,0.7018,0.5517,0.45
2016-01-02 22:00:00,0,0,0.6744,0.5396,0.45
2016-01-02 23:00:00,0,0,0.6496,0.5206,0.45
2016-01-03 00:00:00,0,0,0.6177,0.5056,0.45
2016-01-03 01:00:00,0,0,0.6151,0.5004,0.45
2016-01-03 02:00:00,0,0,0.599,0.4939,0.45
2016-01-03 03:00:00,0,0,0.5841,0.4878,0.45
2016-01-03 04:00:00,0,0,0.5707,0.4856,0.45
2016-01-03 05:00:00,0,0,0.5277,0.4637,0.45
2016-01-03 06:00:00,0,0,0.4687,0.4337,0.45
2016-01-03 07:00:00,0.0072,0.0116,0.4353,0.4144,0.45
2016-01-03 08:00:00,0.0705,0.0962,0.4477,0.4251,0.45
2016-01-03 09:00:00,0.1575,0.1945,0.416,0.4169,0.45
2016-01-03 10:00:00,0.2297,0.2759,0.4183,0.3917,0.45
2016-01-03 11:00:00,0.2479,0.2971,0.4183,0.385,0.45
2016-01-03 12:00:00,0.2169,0.2594,0.463,0.4033,0.45
2016-01-03 13:00:00,0.1369,0.1636,0.4774,0.4083,0.45
2016-01-03 14:00:00,0.0316,0.0379,0.4083,0.3595,0.45
2016-01-03 15:00:00,0,0,0.4437,0.3791,0.45
2016-01-03 16:00:00,0,0,0.4933,0.4007,0.45
2016-01-03 17:00:00,0,0,0.5027,0.401,0.45
2016-01-03 18:00:00,0,0,0.4853,0.3802,0.45
2016-01-03 19:00:00,0,0,0.4381,0.3629,0.45
2016-01-03 20:00:00,0,0,0.4083,0.349,0.45
2016-01-03 21:00:00,0,0,0.3921,0.3419,0.45
2016-01-03 22:00:00,0,0,0.3947,0.3315,0.45
2016-01-03 23:00:00,0,0,0.3871,0.3283,0.45
2016-01-04 00:00:00,0,0,0.3867,0.3239,0.45
2016-01-04 01:00:00,0,0,0.3761,0.32,0.45
2016-01-04 02:00:00,0,0,0.3533,0.3101,0.45
2016-01-04 03:00:00,0,0,0.346,0.3024,0.45
2016-01-04 04:00:00,0,0,0.2811,0.293,0.45
2016-01-04 05:00:00,0,0,0.283,0.2965,0.45
2016-01-04 06:00:00,0,0,0.293,0.2926,0.45
2016-01-04 07:00:00,0.0029,0.0038,0.2907,0.2849,0.45
2016-01-04 08:00:00,0.0311,0.0404,0.3397,0.3004,0.45
2016-01-04 09:00:00,0.0569,0.078,0.4064,0.3019,0.45
2016-01-04 10:00:00,0.0818,0.1046,0.3509,0.279,0.45
2016-01-04 11:00:00,0.0963,0.1121,0.3171,0.2496,0.45
2016-01-04 12:00:00,0.0765,0.0908,0.2736,0.2211,0.45
2016-01-04 13:00:00,0.0336,0.046,0.2154,0.1874,0.45
2016-01-04 14:00:00,0.0044,0.0066,0.139,0.1398,0.45
2016-01-04 15:00:00,0,0,0.1543,0.1454,0.45
2016-01-04 16:00:00,0,0,0.177,0.1642,0.45
2016-01-04 17:00:00,0,0,0.1823,0.1696,0.45
2016-01-04 18:00:00,0,0,0.1746,0.1629,0.45
2016-01-04 19:00:00,0,0,0.1726,0.1548,0.45
2016-01-04 20:00:00,0,0,0.1656,0.1479,0.45
2016-01-04 21:00:00,0,0,0.1621,0.1438,0.45
2016-01-04 22:00:00,0,0,0.1657,0.1477,0.45
2016-01-04 23:00:00,0,0,0.1691,0.1552,0.45
2016-01-05 00:00:00,0,0,0.1789,0.1636,0.45
2016-01-05 01:00:00,0,0,0.1987,0.1718,0.45
2016-01-05 02:00:00,0,0,0.2334,0.1805,0.45
2016-01-05 03:00:00,0,0,0.2637,0.1869,0.45
2016-01-05 04:00:00,0,0,0.246,0.1856,0.45
2016-01-05 05:00:00,0,0,0.2291,0.1841,0.45
2016-01-05 06:00:00,0,0,0.219,0.1806,0.45
2016-01-05 07:00:00,0.0011,0.0019,0.2194,0.1848,0.45
2016-01-05 08:00:00,0.0183,0.027,0.2319,0.1956,0.45
2016-01-05 09:00:00,0.0344,0.0521,0.2264,0.1866,0.45
2016-01-05 10:00:00,0.045,0.0662,0.2104,0.1731,0.45
2016-01-05 11:00:00,0.0467,0.0639,0.1959,0.1643,0.45
2016-01-05 12:00:00,0.0392,0.0502,0.2011,0.161,0.45
2016-01-05 13:00:00,0.0192,0.0272,0.2009,0.1584,0.45
2016-01-05 14:00:00,0.0016,0.0034,0.1921,0.1547,0.45
2016-01-05 15:00:00,0,0,0.1911,0.1531,0.45
2016-01-05 16:00:00,0,0,0.1977,0.1491,0.45
2016-01-05 17:00:00,0,0,0.1959,0.1411,0.45
2016-01-05 18:00:00,0,0,0.1899,0.1328,0.45
2016-01-05 19:00:00,0,0,0.1829,0.1251,0.45
2016-01-05 20:00:00,0,0,0.1823,0.1194,0.45
2016-01-05 21:00:00,0,0,0.1817,0.1164,0.45
2016-01-05 22:00:00,0,0,0.1743,0.1115,0.45
2016-01-05 23:00:00,0,0,0.1623,0.1059,0.45
2016-01-06 00:00:00,0,0,0.1514,0.0968,0.45
2016-01-06 01:00:00,0,0,0.1463,0.0921,0.45
2016-01-06 02:00:00,0,0,0.142,0.0906,0.45
2016-01-06 03:00:00,0,0,0.1357,0.0881,0.45
2016-01-06 04:00:00,0,0,0.1263,0.083,0.45
2016-01-06 05:00:00,0,0,0.1206,0.0792,0.45
2016-01-06 06:00:00,0,0,0.114,0.0787,0.45
2016-01-06 07:00:00,0.0009,0.0023,0.1144,0.0816,0.45
2016-01-06 08:00:00,0.0218,0.0348,0.1159,0.0881,0.45
2016-01-06 09:00:00,0.0474,0.0719,0.1031,0.0872,0.45
2016-01-06 10:00:00,0.0734,0.1078,0.087,0.0784,0.45
2016-01-06 11:00:00,0.0878,0.1223,0.0754,0.0708,0.45
2016-01-06 12:00:00,0.0744,0.1057,0.0679,0.0676,0.45
2016-01-06 13:00:00,0.0447,0.0636,0.0649,0.068,0.45
2016-01-06 14:00:00,0.0076,0.0118,0.0684,0.067,0.45
2016-01-06 15:00:00,0,0,0.0683,0.068,0.45
2016-01-06 16:00:00,0,0,0.0684,0.0664,0.45
2016-01-06 17:00:00,0,0,0.063,0.0618,0.45
2016-01-06 18:00:00,0,0,0.0574,0.0573,0.45
2016-01-06 19:00:00,0,0,0.0507,0.0508,0.45
2016-01-06 20:00:00,0,0,0.0434,0.043,0.45
2016-01-06 21:00:00,0,0,0.0367,0.037,0.45
2016-01-06 22:00:00,0,0,0.0289,0.0299,0.45
2016-01-06 23:00:00,0,0,0.0226,0.0256,0.45
2016-01-07 00:00:00,0,0,0.0223,0.0257,0.45
2016-01-07 01:00:00,0,0,0.025,0.0281,0.45
2016-01-07 02:00:00,0,0,0.0253,0.0299,0.45
2016-01-07 03:00:00,0,0,0.0233,0.029,0.45
2016-01-07 04:00:00,0,0,0.0236,0.0302,0.45
2016-01-07 05:00:00,0,0,0.029,0.0387,0.45
2016-01-07 06:00:00,0,0,0.0404,0.0509,0.45
2016-01-07 07:00:00,0.0022,0.0039,0.0574,0.0641,0.45
2016-01-07 08:00:00,0.0336,0.0471,0.0713,0.0752,0.45
2016-01-07 09:00:00,0.0752,0.1016,0.0761,0.081,0.45
2016-01-07 10:00:00,0.1092,0.1454,0.0796,0.0868,0.45
2016-01-07 11:00:00,0.1142,0.1567,0.0937,0.1025,0.45
2016-01-07 12:00:00,0.0991,0.143,0.1254,0.1252,0.45
2016-01-07 13:00:00,0.0623,0.0932,0.1596,0.1508,0.45
2016-01-07 14:00:00,0.0117,0.0202,0.1636,0.1669,0.45
2016-01-07 15:00:00,0,0,0.226,0.2212,0.45
2016-01-07 16:00:00,0,0,0.29,0.2526,0.45
2016-01-07 17:00:00,0,0,0.2731,0.2544,0.45
2016-01-07 18:00:00,0,0,0.2506,0.2651,0.45
2016-01-07 19:00:00,0,0,0.2434,0.2637,0.45
2016-01-07 20:00:00,0,0,0.2459,0.2701,0.45
2016-01-07 21:00:00,0,0,0.2747,0.2858,0.45
2016-01-07 22:00:00,0,0,0.329,0.3129,0.45
2016-01-07 23:00:00,0,0,0.3771,0.3326,0.45
2016-01-08 00:00:00,0,0,0.3677,0.3138,0.45
2016-01-08 01:00:00,0,0,0.287,0.2702,0.45
2016-01-08 02:00:00,0,0,0.2024,0.2729,0.45
2016-01-08 03:00:00,0,0,0.2259,0.3365,0.45
2016-01-08 04:00:00,0,0,0.4621,0.4511,0.45
2016-01-08 05:00:00,0,0,0.7533,0.5268,0.45
2016-01-08 06:00:00,0,0,0.8601,0.573,0.45
2016-01-08 07:00:00,0.0025,0.0083,0.8678,0.5993,0.45
2016-01-08 08:00:00,0.0467,0.0829,0.8341,0.5888,0.45
2016-01-08 09:00:00,0.1647,0.1844,0.7443,0.5584,0.45
2016-01-08 10:00:00,0.1852,0.2191,0.6046,0.5229,0.45
2016-01-08 11:00:00,0.1142,0.1813,0.7433,0.5872,0.45
2016-01-08 12:00:00,0.0527,0.1271,0.8993,0.6724,0.45
2016-01-08 13:00:00,0.041,0.0804,1.1107,0.7376,0.45
2016-01-08 14:00:00,0.0036,0.0164,1.1801,0.7703,0.45
2016-01-08 15:00:00,0,0,1.1744,0.7885,0.45
2016-01-08 16:00:00,0,0,1.1084,0.7741,0.45
2016-01-08 17:00:00,0,0,1.0057,0.7331,0.45
2016-01-08 18:00:00,0,0,0.8637,0.6575,0.45
2016-01-08 19:00:00,0,0,0.6937,0.5542,0.45
2016-01-08 20:00:00,0,0,0.5194,0.4768,0.45
2016-01-08 21:00:00,0,0,0.414,0.3898,0.45
2016-01-08 22:00:00,0,0,0.2944,0.2876,0.45
2016-01-08 23:00:00,0,0,0.1989,0.1939,0.45
2016-01-09 00:00:00,0,0,0.1389,0.1269,0.45
2016-01-09 01:00:00,0,0,0.0939,0.0773,0.45
2016-01-09 02:00:00,0,0,0.0634,0.0492,0.45
2016-01-09 03:00:00,0,0,0.0369,0.0326,0.45
2016-01-09 04:00:00,0,0,0.0237,0.0286,0.45
2016-01-09 05:00:00,0,0,0.0226,0.0349,0.45
2016-01-09 06:00:00,0,0,0.0241,0.046,0.45
2016-01-09 07:00:00,0.0058,0.0145,0.0286,0.0624,0.45
2016-01-09 08:00:00,0.0661,0.1038,0.0346,0.0625,0.45
2016-01-09 09:00:00,0.1827,0.2242,0.0341,0.0426,0.45
2016-01-09 10:00:00,0.2515,0.2965,0.0309,0.0389,0.45
2016-01-09 11:00:00,0.2539,0.3107,0.0371,0.0463,0.45
2016-01-09 12:00:00,0.222,0.2727,0.0517,0.0527,0.45
2016-01-09 13:00:00,0.1452,0.1741,0.0964,0.0849,0.45
2016-01-09 14:00:00,0.0339,0.0412,0.1993,0.1672,0.45
2016-01-09 15:00:00,0,0,0.2824,0.2436,0.45
2016-01-09 16:00:00,0,0,0.2829,0.251,0.45
2016-01-09 17:00:00,0,0,0.2591,0.2304,0.45
2016-01-09 18:00:00,0,0,0.2371,0.2064,0.45
2016-01-09 19:00:00,0,0,0.2087,0.1805,0.45
2016-01-09 20:00:00,0,0,0.1684,0.1517,0.45
2016-01-09 21:00:00,0,0,0.1327,0.13,0.45
2016-01-09 22:00:00,0,0,0.0976,0.1059,0.45
2016-01-09 23:00:00,0,0,0.0699,0.0862,0.45
2016-01-10 00:00:00,0,0,0.065,0.0811,0.45
2016-01-10 01:00:00,0,0,0.0701,0.0808,0.45
2016-01-10 02:00:00,0,0,0.0659,0.08,0.45
2016-01-10 03:00:00,0,0,0.0711,0.09,0.45
2016-01-10 04:00:00,0,0,0.0827,0.1035,0.45
2016-01-10 05:00:00,0,0,0.0914,0.1165,0.45
2016-01-10 06:00:00,0,0,0.1093,0.1355,0.45
2016-01-10 07:00:00,0.0009,0.0022,0.1337,0.1562,0.45
2016-01-10 08:00:00,0.0133,0.0223,0.1397,0.1589,0.45
2016-01-10 09:00:00,0.0211,0.0364,0.1506,0.1647,0.45
2016-01-10 10:00:00,0.0318,0.0477,0.1719,0.1815,0.45
2016-01-10 11:00:00,0.0418,0.0442,0.2129,0.2075,0.45
2016-01-10 12:00:00,0.0115,0.0197,0.2274,0.233,0.45
2016-01-10 13:00:00,0.0052,0.0123,0.244,0.2494,0.45
2016-01-10 14:00:00,0.0047,0.0114,0.233,0.2658,0.45
2016-01-10 15:00:00,0,0,0.3094,0.2928,0.45
2016-01-10 16:00:00,0,0,0.2633,0.2721,0.45
2016-01-10 17:00:00,0,0,0.2026,0.2524,0.45
2016-01-10 18:00:00,0,0,0.208,0.2308,0.45
2016-01-10 19:00:00,0,0,0.1443,0.1901,0.45
2016-01-10 20:00:00,0,0,0.112,0.1605,0.45
2016-01-10 21:00:00,0,0,0.1149,0.1653,0.45
2016-01-10 22:00:00,0,0,0.1194,0.1649,0.45
2016-01-10 23:00:00,0,0,0.1276,0.149,0.45
2016-01-11 00:00:00,0,0,0.1236,0.1316,0.45
2016-01-11 01:00:00,0,0,0.1356,0.1137,0.45
2016-01-11 02:00:00,0,0,0.11,0.1,0.45
2016-01-11 03:00:00,0,0,0.069,0.0956,0.45
2016-01-11 04:00:00,0,0,0.048,0.0894,0.45
2016-01-11 05:00:00,0,0,0.0357,0.0745,0.45
2016-01-11 06:00:00,0,0,0.02,0.0548,0.45
2016-01-11 07:00:00,0.0017,0.0028,0.008,0.0369,0.45
2016-01-11 08:00:00,0.0275,0.0349,0.0064,0.0284,0.45
2016-01-11 09:00:00,0.0585,0.0702,0.0143,0.0214,0.45
2016-01-11 10:00:00,0.0908,0.1085,0.005,0.0105,0.45
2016-01-11 11:00:00,0.1346,0.1377,0.0006,0.0053,0.45
2016-01-11 12:00:00,0.136,0.1313,0.0054,0.0052,0.45
2016-01-11 13:00:00,0.0716,0.0698,0.018,0.0137,0.45
2016-01-11 14:00:00,0.0095,0.01,0.0309,0.0309,0.45
2016-01-11 15:00:00,0,0,0.0359,0.0516,0.45
2016-01-11 16:00:00,0,0,0.0909,0.0932,0.45
2016-01-11 17:00:00,0,0,0.1793,0.1392,0.45
2016-01-11 18:00:00,0,0,0.1853,0.1327,0.45
2016-01-11 19:00:00,0,0,0.1877,0.1036,0.45
2016-01-11 20:00:00,0,0,0.1257,0.0753,0.45
2016-01-11 21:00:00,0,0,0.074,0.0608,0.45
2016-01-11 22:00:00,0,0,0.0533,0.051,0.45
2016-01-11 23:00:00,0,0,0.0444,0.0456,0.45
2016-01-12 00:00:00,0,0,0.0326,0.0469,0.45
2016-01-12 01:00:00,0,0,0.0156,0.0556,0.45
2016-01-12 02:00:00,0,0,0.0023,0.0702,0.45
2016-01-12 03:00:00,0,0,0,0.0768,0.45
2016-01-12 04:00:00,0,0,0,0.1012,0.45
2016-01-12 05:00:00,0,0,0,0.1011,0.45
2016-01-12 06:00:00,0,0,0,0.0822,0.45
2016-01-12 07:00:00,0.0011,0.0006,0.0001,0.0808,0.45
2016-01-12 08:00:00,0.0168,0.0142,0.0086,0.0829,0.45
2016-01-12 09:00:00,0.0206,0.027,0.025,0.0839,0.45
2016-01-12 10:00:00,0.019,0.0354,0.0451,0.0865,0.45
2016-01-12 11:00:00,0.023,0.0398,0.0676,0.0988,0.45
2016-01-12 12:00:00,0.0192,0.0336,0.1206,0.1236,0.45
2016-01-12 13:00:00,0.0111,0.0197,0.2117,0.1711,0.45
2016-01-12 14:00:00,0.0023,0.0039,0.2976,0.2251,0.45
2016-01-12 15:00:00,0,0,0.3216,0.2438,0.45
2016-01-12 16:00:00,0,0,0.3169,0.2506,0.45
2016-01-12 17:00:00,0,0,0.3151,0.27,0.45
2016-01-12 18:00:00,0,0,0.3151,0.2748,0.45
2016-01-12 19:00:00,0,0,0.3017,0.2755,0.45
2016-01-12 20:00:00,0,0,0.2497,0.2461,0.45
2016-01-12 21:00:00,0,0,0.2496,0.2483,0.45
2016-01-12 22:00:00,0,0,0.2651,0.2552,0.45
2016-01-12 23:00:00,0,0,0.2594,0.255,0.45
2016-01-13 00:00:00,0,0,0.2754,0.2429,0.45
2016-01-13 01:00:00,0,0,0.2591,0.2274,0.45
2016-01-13 02:00:00,0,0,0.2599,0.2165,0.45
2016-01-13 03:00:00,0,0,0.2217,0.2062,0.45
2016-01-13 04:00:00,0,0,0.1934,0.225,0.45
2016-01-13 05:00:00,0,0,0.2143,0.2438,0.45
2016-01-13 06:00:00,0,0,0.223,0.2482,0.45
2016-01-13 07:00:00,0.0006,0.0022,0.2141,0.2153,0.45
2016-01-13 08:00:00,0.0133,0.0187,0.1957,0.1729,0.45
2016-01-13 09:00:00,0.0284,0.0353,0.1986,0.154,0.45
2016-01-13 10:00:00,0.0429,0.0465,0.2084,0.1558,0.45
2016-01-13 11:00:00,0.0414,0.0431,0.233,0.1912,0.45
2016-01-13 12:00:00,0.0258,0.0281,0.2329,0.2431,0.45
2016-01-13 13:00:00,0.0093,0.0124,0.245,0.2757,0.45
2016-01-13 14:00:00,0.0001,0.001,0.2139,0.2785,0.45
2016-01-13 15:00:00,0,0,0.1866,0.2633,0.45
2016-01-13 16:00:00,0,0,0.2127,0.2315,0.45
2016-01-13 17:00:00,0,0,0.157,0.1936,0.45
2016-01-13 18:00:00,0,0,0.0989,0.1444,0.45
2016-01-13 19:00:00,0,0,0.0446,0.088,0.45
2016-01-13 20:00:00,0,0,0.0207,0.0572,0.45
2016-01-13 21:00:00,0,0,0.0199,0.0524,0.45
2016-01-13 22:00:00,0,0,0.0301,0.0601,0.45
2016-01-13 23:00:00,0,0,0.0539,0.0759,0.45
2016-01-14 00:00:00,0,0,0.0934,0.0952,0.45
2016-01-14 01:00:00,0,0,0.1144,0.118,0.45
2016-01-14 02:00:00,0,0,0.157,0.1488,0.45
2016-01-14 03:00:00,0,0,0.2041,0.1809,0.45
2016-01-14 04:00:00,0,0,0.2154,0.1825,0.45
2016-01-14 05:00:00,0,0,0.238,0.1871,0.45
2016-01-14 06:00:00,0,0,0.215,0.1639,0.45
2016-01-14 07:00:00,0.0067,0.0102,0.1511,0.1418,0.45
2016-01-14 08:00:00,0.0511,0.0749,0.1019,0.1069,0.45
2016-01-14 09:00:00,0.1644,0.1865,0.0767,0.0845,0.45
2016-01-14 10:00:00,0.2631,0.2756,0.0746,0.0794,0.45
2016-01-14 11:00:00,0.2768,0.3064,0.0677,0.0749,0.45
2016-01-14 12:00:00,0.2394,0.2785,0.0661,0.0685,0.45
2016-01-14 13:00:00,0.1582,0.1899,0.0699,0.0653,0.45
2016-01-14 14:00:00,0.0452,0.0552,0.1151,0.0994,0.45
2016-01-14 15:00:00,0,0,0.1531,0.1366,0.45
2016-01-14 16:00:00,0,0,0.1774,0.167,0.45
2016-01-14 17:00:00,0,0,0.2049,0.1906,0.45
2016-01-14 18:00:00,0,0,0.2394,0.2009,0.45
2016-01-14 19:00:00,0,0,0.2496,0.19,0.45
2016-01-14 20:00:00,0,0,0.2171,0.1664,0.45
2016-01-14 21:00:00,0,0,0.1694,0.1406,0.45
2016-01-14 22:00:00,0,0,0.1337,0.1192,0.45
2016-01-14 23:00:00,0,0,0.1059,0.1032,0.45
2016-01-15 00:00:00,0,0,0.0847,0.0895,0.45
2016-01-15 01:00:00,0,0,0.0684,0.0772,0.45
2016-01-15 02:00:00,0,0,0.051,0.0636,0.45
2016-01-15 03:00:00,0,0,0.0341,0.0513,0.45
2016-01-15 04:00:00,0,0,0.0143,0.04,0.45
2016-01-15 05:00:00,0,0,0.0021,0.0299,0.45
2016-01-15 06:00:00,0,0,0.0009,0.0273,0.45
2016-01-15 07:00:00,0.0009,0.002,0.003,0.0315,0.45
2016-01-15 08:00:00,0.0162,0.0267,0.0109,0.0329,0.45
2016-01-15 09:00:00,0.0422,0.0698,0.0127,0.0237,0.45
2016-01-15 10:00:00,0.0745,0.1132,0.0134,0.0208,0.45
2016-01-15 11:00:00,0.1024,0.1296,0.016,0.0199,0.45
2016-01-15 12:00:00,0.0875,0.1026,0.0201,0.0209,0.45
2016-01-15 13:00:00,0.0481,0.0604,0.0337,0.0274,0.45
2016-01-15 14:00:00,0.012,0.0162,0.0693,0.0548,0.45
2016-01-15 15:00:00,0,0,0.1133,0.0988,0.45
2016-01-15 16:00:00,0,0,0.1253,0.1129,0.45
2016-01-15 17:00:00,0,0,0.102,0.0959,0.45
2016-01-15 18:00:00,0,0,0.0647,0.069,0.45
2016-01-15 19:00:00,0,0,0.0377,0.0511,0.45
2016-01-15 20:00:00,0,0,0.0326,0.0438,0.45
2016-01-15 21:00:00,0,0,0.0314,0.0382,0.45
2016-01-15 22:00:00,0,0,0.0304,0.0329,0.45
2016-01-15 23:00:00,0,0,0.0264,0.0264,0.45
2016-01-16 00:00:00,0,0,0.0267,0.0227,0.45
2016-01-16 01:00:00,0,0,0.0311,0.0217,0.45
2016-01-16 02:00:00,0,0,0.0437,0.0262,0.45
2016-01-16 03:00:00,0,0,0.0551,0.0323,0.45
2016-01-16 04:00:00,0,0,0.053,0.0321,0.45
2016-01-16 05:00:00,0,0,0.0391,0.0248,0.45
2016-01-16 06:00:00,0,0,0.0267,0.0184,0.45
2016-01-16 07:00:00,0.0039,0.0065,0.0191,0.0137,0.45
2016-01-16 08:00:00,0.0294,0.0422,0.0079,0.0076,0.45
2016-01-16 09:00:00,0.06,0.0849,0.0004,0.0035,0.45
2016-01-16 10:00:00,0.0815,0.1157,0.0001,0.0022,0.45
2016-01-16 11:00:00,0.0869,0.1247,0.0014,0.0037,0.45
2016-01-16 12:00:00,0.0677,0.0981,0.0096,0.008,0.45
2016-01-16 13:00:00,0.0409,0.0571,0.0156,0.0108,0.45
2016-01-16 14:00:00,0.0112,0.0142,0.0209,0.0142,0.45
2016-01-16 15:00:00,0,0,0.0327,0.0225,0.45
2016-01-16 16:00:00,0,0,0.0384,0.0303,0.45
2016-01-16 17:00:00,0,0,0.036,0.04,0.45
2016-01-16 18:00:00,0,0,0.0313,0.0519,0.45
2016-01-16 19:00:00,0,0,0.0291,0.0581,0.45
2016-01-16 20:00:00,0,0,0.0243,0.054,0.45
2016-01-16 21:00:00,0,0,0.0123,0.0409,0.45
2016-01-16 22:00:00,0,0,0.0011,0.027,0.45
2016-01-16 23:00:00,0,0,0,0.0172,0.45
2016-01-17 00:00:00,0,0,0,0.011,0.45
2016-01-17 01:00:00,0,0,0,0.0081,0.45
2016-01-17 02:00:00,0,0,0,0.0089,0.45
2016-01-17 03:00:00,0,0,0,0.0117,0.45
2016-01-17 04:00:00,0,0,0.0001,0.0141,0.45
2016-01-17 05:00:00,0,0,0.0003,0.0153,0.45
2016-01-17 06:00:00,0,0,0.0003,0.0145,0.45
2016-01-17 07:00:00,0.0092,0.0069,0,0.0126,0.45
2016-01-17 08:00:00,0.0608,0.0542,0,0.0069,0.45
2016-01-17 09:00:00,0.1249,0.1188,0,0.0049,0.45
2016-01-17 10:00:00,0.175,0.1837,0,0.0062,0.45
2016-01-17 11:00:00,0.1676,0.2074,0,0.0069,0.45
2016-01-17 12:00:00,0.1131,0.1553,0.0001,0.0093,0.45
2016-01-17 13:00:00,0.0535,0.0853,0.0017,0.0131,0.45
2016-01-17 14:00:00,0.0124,0.02,0.0064,0.0211,0.45
2016-01-17 15:00:00,0,0,0.014,0.0345,0.45
2016-01-17 16:00:00,0,0,0.0166,0.04,0.45
2016-01-17 17:00:00,0,0,0.0156,0.0377,0.45
2016-01-17 18:00:00,0,0,0.0144,0.034,0.45
2016-01-17 19:00:00,0,0,0.0151,0.0309,0.45
2016-01-17 20:00:00,0,0,0.0189,0.0313,0.45
2016-01-17 21:00:00,0,0,0.0219,0.0335,0.45
2016-01-17 22:00:00,0,0,0.0237,0.037,0.45
2016-01-17 23:00:00,0,0,0.0249,0.0414,0.45
2016-01-18 00:00:00,0,0,0.0239,0.0429,0.45
2016-01-18 01:00:00,0,0,0.0217,0.042,0.45
2016-01-18 02:00:00,0,0,0.0201,0.0375,0.45
2016-01-18 03:00:00,0,0,0.0146,0.0286,0.45
2016-01-18 04:00:00,0,0,0.0086,0.0198,0.45
2016-01-18 05:00:00,0,0,0.0061,0.0149,0.45
2016-01-18 06:00:00,0,0,0.0053,0.0132,0.45
2016-01-18 07:00:00,0.0165,0.0152,0.0047,0.0125,0.45
2016-01-18 08:00:00,0.0882,0.0827,0.0051,0.0143,0.45
2016-01-18 09:00:00,0.2206,0.2087,0.012,0.0181,0.45
2016-01-18 10:00:00,0.3092,0.3048,0.0164,0.02,0.45
2016-01-18 11:00:00,0.312,0.3151,0.0191,0.0238,0.45
2016-01-18 12:00:00,0.2705,0.2745,0.0231,0.0264,0.45
2016-01-18 13:00:00,0.1843,0.1765,0.0224,0.0243,0.45
2016-01-18 14:00:00,0.0623,0.0569,0.0184,0.0246,0.45
2016-01-18 15:00:00,0,0,0.0207,0.0333,0.45
2016-01-18 16:00:00,0,0,0.026,0.0406,0.45
2016-01-18 17:00:00,0,0,0.0366,0.0478,0.45
2016-01-18 18:00:00,0,0,0.0523,0.0551,0.45
2016-01-18 19:00:00,0,0,0.0697,0.0633,0.45
